퍼블리싱,아티스트,Nation,Artist,Artist Native,음반,Album,규모,해외,트랙,음원,ver.,feat.,Track,Track Native,장르,속도,비트,전자,보컬,성별,행위,가사,종교,공간,시대,시간,스타일,명암,대중,음량,백엔드,빅데이터,행정,디자이너,,시간,청음,dB(R) 1.0,dB(R) 1.1,기획사,작곡,편곡,작사,실연,가사,음반 관리번호,음원 관리번호,비디오 관리번호,ISRC,UCI,바코드
2020-09-10,곽윤찬,,Yoonchan Kwak,,i am Melody Piano version,i am Melody Piano version,정규,FALSE,1,"What a Fellowship, What a Joy Divine",,,"What a Fellowship, What a Joy Divine",,재즈,4,3.5,2.5,2,-,-,-,-,3.5,현대,4,재즈,3,3,4,2,0,0,0,3,4:40,56.41,56.31,,블루쉬림프,A.J Showalter,곽윤찬,,Yoonchan Kwak,,KEI-0006,KEI-0006-01,,KRMIM2023938,uci:i500-1000006704964.100052792931-1,8809990091140
2020-09-10,곽윤찬,,Yoonchan Kwak,,i am Melody Piano version,i am Melody Piano version,정규,FALSE,2,A Wonderful Saviour is Jesus My Lord,,,A Wonderful Saviour is Jesus My Lord,,재즈,4,3.5,3,2,-,-,-,-,3.5,현대,3.5,재즈,3,3,4,2,0,0,0,3,4:43,56.89,56.94,,블루쉬림프,W.J Kirkpatrick,곽윤찬,,Yoonchan Kwak,,KEI-0006,KEI-0006-02,,KRMIM2023939,uci:i500-1000006704964.100052792932-1,8809990091140
2020-09-10,곽윤찬,,Yoonchan Kwak,,i am Melody Piano version,i am Melody Piano version,정규,FALSE,3,What a Friend We Have in Jesus,,,What a Friend We Have in Jesus,,재즈,3,3,2.5,1,-,-,-,-,3.5,현대,3.5,재즈,3,2.5,4,0,1,0,0,3,4:41,57.42,57.69,,블루쉬림프,Charles C. Converse,곽윤찬,,Yoonchan Kwak,,KEI-0006,KEI-0006-03,,KRMIM2023940,uci:i500-1000006704964.100052792933-1,8809990091140
2020-09-10,곽윤찬,,Yoonchan Kwak,,i am Melody Piano version,i am Melody Piano version,정규,FALSE,4,Be Not Dismayed Whateer Betide,,,Be Not Dismayed Whateer Betide,,재즈,4,4,2.5,1,-,-,-,-,4,현대,4,재즈,3,3.5,4.5,0,1,0,0,3,4:34,57.21,57.4,,블루쉬림프,W.S Martin,곽윤찬,,Yoonchan Kwak,,KEI-0006,KEI-0006-04,,KRMIM2023941,uci:i500-1000006704964.100052792934-1,8809990091140
2020-09-10,곽윤찬,,Yoonchan Kwak,,i am Melody Piano version,i am Melody Piano version,정규,FALSE,5,How Great Thou Art,,,How Great Thou Art,,재즈,3,3,2,1,-,-,-,-,3,현대,3.5,재즈,3,3,4,0,0,3,0,4,5:26,56.26,56.4,,블루쉬림프,S.K Hine,곽윤찬,,Yoonchan Kwak,,KEI-0006,KEI-0006-05,,KRMIM2023942,uci:i500-1000006704964.100052792935-1,8809990091140
2020-09-10,곽윤찬,,Yoonchan Kwak,,i am Melody Piano version,i am Melody Piano version,정규,FALSE,6,"Saviour, Like a Shepherd Lead Us",,,"Saviour, Like a Shepherd Lead Us",,재즈,3,3,1.5,1,-,-,-,-,3,현대,3.5,재즈,3,3,4,0,0,2,0,3,5:05,57.9,57.95,,블루쉬림프,W.B Bradbury,곽윤찬,,Yoonchan Kwak,,KEI-0006,KEI-0006-06,,KRMIM2023943,uci:i500-1000006704964.100052792936-1,8809990091140
2020-09-10,곽윤찬,,Yoonchan Kwak,,i am Melody Piano version,i am Melody Piano version,정규,FALSE,7,I Surrender All,,,I Surrender All,,재즈,2,1,1,1,-,-,-,-,1,현대,2,재즈,3,3,3.5,2,0,0,0,2,4:41,51.23,51.14,,블루쉬림프,Winfield S. Weeden,곽윤찬,,Yoonchan Kwak,,KEI-0006,KEI-0006-07,,KRMIM2023944,uci:i500-1000006704964.100052792937-1,8809990091140
2020-09-10,곽윤찬,,Yoonchan Kwak,,i am Melody Piano version,i am Melody Piano version,정규,FALSE,8,Up from the Grave He Arose,,,Up from the Grave He Arose,,재즈,3.5,4,2.5,1,-,-,-,-,3.5,현대,4,재즈,2.5,2.5,4.5,2,0,0,0,4,5:34,57.97,57.69,,블루쉬림프,Robert Lowry,곽윤찬,,Yoonchan Kwak,,KEI-0006,KEI-0006-08,,KRMIM2023945,uci:i500-1000006704964.100052792938-1,8809990091140
2020-09-11,이선행,,Sunhang Lee,,살아계신 성령님,The Holy Spirit,정규,FALSE,1,불길 같은 주 성령,,,"Come, Thou burning Spirit, Come",,종교,2,1.5,1,1,-,-,-,-,1.5,고서,2,일반,3,3,3.5,2,0,2,0,2,4:00,47.99,47.6,,엔하모닉뮤직,Old English Air,이선행,,이선행,,KEI-0007,KEI-0007-01,,KRMIM2023983,uci:i500-1000006705034.100052793321-1,
2020-09-11,이선행,,Sunhang Lee,,살아계신 성령님,The Holy Spirit,정규,FALSE,2,이 기쁜 소식을,,,O Spread the Tidings Round,,종교,2,1.5,1,1,-,-,-,-,1.5,고서,2,일반,3,3,3.5,2,0,2,0,2,5:19,48.07,48.11,,엔하모닉뮤직,W. J. Kirkpatrick,이선행,,이선행,,KEI-0007,KEI-0007-02,,KRMIM2023984,uci:i500-1000006705034.100052793322-1,
2020-09-11,이선행,,Sunhang Lee,,살아계신 성령님,The Holy Spirit,정규,FALSE,3,비둘기같이 온유한,,,"Come, gracious Spirit",,종교,2,1.5,1,1,-,-,-,-,1,고서,1.5,일반,3,3,3.5,0,0,2,0,2,2:49,45.61,45.6,,엔하모닉뮤직,G. Hews,이선행,,이선행,,KEI-0007,KEI-0007-03,,KRMIM2023985,uci:i500-1000006705034.100052793323-1,
2020-09-11,이선행,,Sunhang Lee,,살아계신 성령님,The Holy Spirit,정규,FALSE,4,강물같이 흐르는 기쁨,,,Joys are Flowing Like a River,,종교,2,1.5,1,1,-,-,-,-,1.5,고서,1.5,일반,3,3,4,0,0,2,0,2,2:42,49.13,49,,엔하모닉뮤직,W. S. Marshall,이선행,,이선행,,KEI-0007,KEI-0007-04,,KRMIM2023986,uci:i500-1000006705034.100052793324-1,
2020-09-11,이선행,,Sunhang Lee,,살아계신 성령님,The Holy Spirit,정규,FALSE,5,내가 매일 기쁘게,,,I’m Rejoicing Night and Day,,종교,2,1.5,1,1,-,-,-,-,1,고서,1.5,일반,3,3,3.5,2,0,0,0,1,3:30,49.57,49.71,,엔하모닉뮤직,D. M. Shanks,이선행,,이선행,,KEI-0007,KEI-0007-05,,KRMIM2023987,uci:i500-1000006705034.100052793325-1,
